,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
163,control,15,averse,9,2023-08-31,-0.0072368940435839635,0.08378607482543796,-0.9962743253091401
164,control,15,averse,9,2023-09-30,-0.036541317044010535,0.08025079332258274,-2.2519916264469657
165,control,15,averse,9,2023-10-31,-0.024871805187718032,0.07599803817794737,-1.4810065411088345
166,control,15,averse,9,2023-11-30,0.0435875732463753,0.09681378734889456,0.658232247358054
167,control,15,averse,9,2023-12-31,0.06258428189712362,0.08952146779132265,0.9119896823490492
168,control,15,averse,9,2024-01-31,0.08482750578197074,0.08966793659032747,1.1594584697263097
169,control,15,averse,9,2024-02-29,0.10728312115491323,0.08759660799525992,1.3824101789138843
170,control,15,averse,9,2024-03-31,0.12374383021565438,0.08558236179224232,1.4184452515926917
171,control,15,averse,9,2024-04-30,0.07804094274568962,0.09006567825150433,0.5606355839409741
172,control,15,averse,9,2024-05-31,0.11748787356269497,0.08637313048916143,0.9899299017038297
173,control,15,averse,9,2024-06-30,0.1553359006597963,0.08563374738540112,1.2823865485081698
174,control,15,averse,9,2024-07-31,0.14415335561940923,0.0864812877791211,1.0214955108479116
175,control,15,averse,9,2024-08-31,0.15336158053527504,0.08635926884846672,1.0069396254261669
176,control,15,averse,9,2024-09-30,0.17419756715866486,0.08948895645005274,1.0336112789832166
177,control,15,averse,9,2024-10-31,0.14275133760607606,0.08995837521522196,0.6872992445283238
178,control,15,averse,9,2024-11-30,0.17897843922364842,0.08997574571327133,0.8922475977867677
179,control,15,averse,9,2024-12-31,0.1633598836206711,0.08973902207919535,0.6947881209495337
180,control,15,neutral,0,2023-07-31,0.020218357649163465,0.12029877105278045,1.57150158159806
181,control,15,neutral,0,2023-08-31,-0.0016732762961972902,0.17298594571148337,-0.3006389998579135
182,control,15,neutral,0,2023-09-30,-0.06353047626579733,0.16185850240521824,-1.6884600794412885
183,control,15,neutral,0,2023-10-31,-0.033122282776401946,0.15590964489001616,-0.86652613319004
184,control,15,neutral,0,2023-11-30,0.07707067280693791,0.19134044764198269,0.781073128093322
185,control,15,neutral,0,2023-12-31,0.13438843796939848,0.18194595652546494,1.277833340776579
186,control,15,neutral,0,2024-01-31,0.1684847014042261,0.1837706324960064,1.393550800013344
187,control,15,neutral,0,2024-02-29,0.35060876286782827,0.18112507478588175,2.873800547471003
188,control,15,neutral,0,2024-03-31,0.40523553496910436,0.1750215278234735,2.9359428936462377
189,control,15,neutral,0,2024-04-30,0.33796523968580927,0.19139063557798439,1.9244586642452326
190,control,15,neutral,0,2024-05-31,0.5064212529710703,0.18858297234503527,2.738151560080036
191,control,15,neutral,0,2024-06-30,0.5831463228729306,0.18514923347108098,2.846922638568142
192,control,15,neutral,0,2024-07-31,0.5994473813359804,0.18019124239152584,2.7332907200542214
193,control,15,neutral,0,2024-08-31,0.5670279508485412,0.19032774969574895,2.228610191411497
194,control,15,neutral,0,2024-09-30,0.6182892208045072,0.20323153003336564,2.0608371687506475
195,control,15,neutral,0,2024-10-31,0.6375531525808265,0.2010741040307324,1.9899403579121797
196,control,15,neutral,0,2024-11-30,0.8575609017331551,0.20149800617221159,2.4954647710421307
197,control,15,neutral,0,2024-12-31,0.8752281965685098,0.19941484094648393,2.3581487905853193
198,control,15,neutral,1,2023-07-31,0.009079578072769046,0.07389532624689775,0.7603232643015694
199,control,15,neutral,1,2023-08-31,-0.01563595462080669,0.14106085496239817,-0.9174011645244159
200,control,15,neutral,1,2023-09-30,-0.06933599339167384,0.13519737725776468,-2.1611837449720404
201,control,15,neutral,1,2023-10-31,-0.022046723888371145,0.13608298008482053,-0.7697517515951726
202,control,15,neutral,1,2023-11-30,0.08352376562015307,0.16630514026809703,1.0005569258296083
203,control,15,neutral,1,2023-12-31,0.11536747203105069,0.15523719180356566,1.2345408301321639
204,control,15,neutral,1,2024-01-31,0.12706315959039793,0.15839658171543922,1.135212151136427
205,control,15,neutral,1,2024-02-29,0.21681791479929124,0.1516208524193846,1.953099854476933
206,control,15,neutral,1,2024-03-31,0.23488090966593322,0.14626400059069017,1.8677788653125071
207,control,15,neutral,1,2024-04-30,0.17783666796975983,0.15621589994738572,1.094886539969075
208,control,15,neutral,1,2024-05-31,0.26881601335767513,0.1523504450370424,1.6531890501738913
209,control,15,neutral,1,2024-06-30,0.34671932807324835,0.15021403286132712,1.975845290394808
210,control,15,neutral,1,2024-07-31,0.35089244849294254,0.14994494561774885,1.8229418637649524
211,control,15,neutral,1,2024-08-31,0.3470184409410646,0.15342559434488537,1.6080763137816332
212,control,15,neutral,1,2024-09-30,0.3919832140186743,0.1610123034791298,1.5855847792071267
213,control,15,neutral,1,2024-10-31,0.3732447903790572,0.15944285164702282,1.400577560575252
214,control,15,neutral,1,2024-11-30,0.5058900582050492,0.15808085684744905,1.8404965866763012
215,control,15,neutral,1,2024-12-31,0.5345258623392359,0.15752479038777065,1.7979754846616065
216,control,15,neutral,2,2023-07-31,0.0027432268758433853,0.1272534187583301,-0.1059054537048112
217,control,15,neutral,2,2023-08-31,-0.029885485151352253,0.19735869316329085,-1.0294737539149255
218,control,15,neutral,2,2023-09-30,-0.06810107142176414,0.17941626679825382,-1.606301690113492
219,control,15,neutral,2,2023-10-31,-0.05498127485559268,0.16724360110829112,-1.154595174092785
220,control,15,neutral,2,2023-11-30,0.055374033630632535,0.18705055181772484,0.49976556549470247
221,control,15,neutral,2,2023-12-31,0.11684051248826655,0.17939503163980053,1.0858012122097151
222,control,15,neutral,2,2024-01-31,0.08769716792930349,0.1715692679121412,0.635646421638451
223,control,15,neutral,2,2024-02-29,0.23663040520434797,0.17319774968501994,1.8974715949329832
224,control,15,neutral,2,2024-03-31,0.2579339456647478,0.1709688870210871,1.7851487296689403
225,control,15,neutral,2,2024-04-30,0.20285878571204385,0.18369459155629678,1.0972672103807704
226,control,15,neutral,2,2024-05-31,0.2882074899699325,0.1815483811734446,1.505417222652632
227,control,15,neutral,2,2024-06-30,0.3357605961732948,0.17482353783831026,1.6365480587926362
228,control,15,neutral,2,2024-07-31,0.3776232713817895,0.17229917154195096,1.7241609556215927
229,control,15,neutral,2,2024-08-31,0.33218021357520366,0.17982990294581713,1.3045945233436589
230,control,15,neutral,2,2024-09-30,0.40965610321787915,0.19072427506299133,1.406543545901407
231,control,15,neutral,2,2024-10-31,0.4118978110678704,0.18840117510020674,1.3252686492032488
232,control,15,neutral,2,2024-11-30,0.6618930329417068,0.19852989133260687,1.94719966642118
233,control,15,neutral,2,2024-12-31,0.6989752527646327,0.19922988146951237,1.8827413040922512
234,control,15,neutral,3,2023-07-31,0.008871494223624543,0.07068969443163911,0.7615062341419461
